postId,slug,title,creatorId,collectionId,upvotes,views,reads,createdAt,firstPublishedAt,visibility,firstPublishedAtBucket,readingTime,syndicatedViews,claps,updateNotificationSubscribers,isSeries,internalReferrerViews,friendsLinkViews,type,daysSincePublished
1c7cff13c24d,box-pythonの次世代sdk-ccgの使用,Box Pythonの次世代SDK: CCGの使用,5c489a4342f7,d4dda281ea02,0,14,4,2023-11-24T01:29:10,2023-11-24T02:13:55,0,November 2023,14,0,0,0,False,4,0,PostStat,10
f6e7fa2d234e,box-signの使用,Box Signの使用,5c489a4342f7,d4dda281ea02,0,4,0,2023-11-24T00:39:22,2023-11-24T02:13:05,0,November 2023,26,0,0,0,False,2,0,PostStat,10
77aa1608c582,box-pythonの次世代sdk-oauth-2-0の使用,Box Pythonの次世代SDK: OAuth 2.0の使用,5c489a4342f7,d4dda281ea02,0,12,3,2023-11-22T06:52:54,2023-11-22T07:45:54,0,November 2023,13,0,0,0,False,2,0,PostStat,12
e5b4359da9d4,pythonを使用したboxのフォルダツリーの再構築,Pythonを使用したBoxのフォルダツリーの再構築,5c489a4342f7,d4dda281ea02,0,10,4,2023-11-22T06:28:47,2023-11-22T06:50:16,0,November 2023,12,0,0,0,False,3,0,PostStat,12
adbf736690c0,box-platformでのコンテンツの検索,Box Platformでのコンテンツの検索,5c489a4342f7,d4dda281ea02,0,9,7,2023-11-22T06:10:37,2023-11-22T06:27:53,0,November 2023,18,0,0,0,False,6,0,PostStat,12
442415a8a80a,postmanコレクションの展開を次のレベルに進める,Postmanコレクションの展開を次のレベルに進める,5c489a4342f7,d4dda281ea02,0,1,0,2023-11-22T03:47:05,2023-11-22T04:16:17,0,November 2023,7,0,0,0,False,1,0,PostStat,12
8d596a4460ab,box-platformでのコメントの使用,Box Platformでのコメントの使用,5c489a4342f7,d4dda281ea02,0,2,1,2023-11-22T03:29:55,2023-11-22T03:43:51,0,November 2023,8,0,0,0,False,1,0,PostStat,12
a6979847d031,box-ai-apiのプレビュー,Box AI APIのプレビュー,5c489a4342f7,d4dda281ea02,0,25,9,2023-11-14T05:39:28,2023-11-14T05:59:34,0,November 2023,16,0,0,0,False,10,0,PostStat,20
c6648ff9f763,box-salesforce-box-signの書き戻しフロー,Box + Salesforce: Box Signの書き戻しフロー,5c489a4342f7,d4dda281ea02,0,11,2,2023-10-31T02:48:19,2023-10-31T05:26:19,0,October 2023,9,0,0,0,False,9,0,PostStat,34
5451538f836a,box-postmanの高度なコレクション,Box Postmanの高度なコレクション,5c489a4342f7,d4dda281ea02,0,10,5,2023-10-31T05:07:44,2023-10-31T05:24:48,0,October 2023,9,0,0,0,False,8,0,PostStat,34
