timeWindowStart,views,ttr,dailyUniqueVisitors
2024-02-02T20:00:00,1,5.633,32
2024-02-03T00:00:00,1,11.728,28
2024-02-03T01:00:00,2,28.493,25
2024-02-03T02:00:00,1,0.0,20
2024-02-03T03:00:00,0,98.472,14
2024-02-03T04:00:00,1,1.007,10
2024-02-03T07:00:00,1,19.142,6
2024-02-03T08:00:00,1,191.639,6
2024-02-03T10:00:00,1,48.272,7
2024-02-03T20:00:00,2,37.887,7
2024-02-03T21:00:00,1,98.548,7
2024-02-04T01:00:00,2,90.845,8
2024-02-04T02:00:00,5,211.623,8
2024-02-04T03:00:00,1,57.558,9
2024-02-04T05:00:00,0,4.816,9
2024-02-04T08:00:00,1,5.557,8
2024-02-04T09:00:00,1,3.915,8
2024-02-04T11:00:00,1,361.801,8
2024-02-04T16:00:00,1,102.348,8
2024-02-04T18:00:00,1,9.765,9
2024-02-04T19:00:00,2,208.102,10
2024-02-04T20:00:00,4,101.44,12
2024-02-04T21:00:00,7,297.59,15
2024-02-04T22:00:00,4,157.222,18
2024-02-04T23:00:00,4,330.703,19
2024-02-05T00:00:00,11,1462.557,20
2024-02-05T01:00:00,5,204.393,25
2024-02-05T02:00:00,8,351.96,30
2024-02-05T03:00:00,9,1058.283,32
2024-02-05T04:00:00,4,289.012,37
2024-02-05T07:00:00,1,56.125,39
2024-02-05T08:00:00,2,13.5,40
2024-02-05T09:00:00,0,1.011,41
2024-02-05T10:00:00,1,108.245,40
2024-02-05T11:00:00,7,491.045,41
2024-02-05T18:00:00,4,105.637,40
2024-02-05T19:00:00,3,7.905,42
2024-02-05T20:00:00,9,402.587,41
2024-02-05T21:00:00,1,0.0,42
2024-02-05T22:00:00,5,250.865,40
2024-02-05T23:00:00,32,1058.067,43
2024-02-06T00:00:00,9,1081.67,52
2024-02-06T01:00:00,4,2917.0,52
2024-02-06T02:00:00,9,1358.898,51
2024-02-06T03:00:00,4,328.138,54
2024-02-06T04:00:00,7,229.068,52
2024-02-06T05:00:00,2,491.414,53
2024-02-06T06:00:00,1,114.096,53
2024-02-06T07:00:00,1,134.996,53
2024-02-06T08:00:00,1,1009.094,52
2024-02-06T09:00:00,1,52.932,50
2024-02-06T17:00:00,1,15.211,50
2024-02-06T18:00:00,3,17.985,51
2024-02-06T19:00:00,3,128.806,50
2024-02-06T20:00:00,6,120.902,52
2024-02-06T21:00:00,8,1285.224,52
2024-02-06T22:00:00,5,218.633,56
2024-02-06T23:00:00,10,383.866,57
2024-02-07T00:00:00,8,777.28,59
2024-02-07T01:00:00,1,97.774,58
2024-02-07T02:00:00,10,542.908,55
2024-02-07T03:00:00,7,755.488,53
2024-02-07T04:00:00,4,443.874,52
2024-02-07T05:00:00,2,48.478,51
2024-02-07T06:00:00,1,0.0,52
2024-02-07T07:00:00,0,214.697,52
2024-02-07T10:00:00,1,0.0,50
2024-02-07T13:00:00,1,88.567,51
2024-02-07T14:00:00,1,1.252,52
2024-02-07T16:00:00,1,1.122,52
2024-02-07T18:00:00,4,1.002,52
2024-02-07T19:00:00,3,267.362,51
2024-02-07T20:00:00,23,971.264,51
2024-02-07T21:00:00,10,398.556,54
2024-02-07T22:00:00,1,139.47,49
2024-02-07T23:00:00,3,73.402,46
2024-02-08T00:00:00,5,186.946,40
2024-02-08T01:00:00,17,247.039,40
2024-02-08T02:00:00,4,137.729,46
2024-02-08T03:00:00,4,578.099,44
2024-02-08T04:00:00,6,221.409,44
2024-02-08T05:00:00,2,100.747,45
2024-02-08T06:00:00,2,363.301,45
2024-02-08T07:00:00,1,4.243,44
2024-02-08T08:00:00,4,281.973,45
2024-02-08T10:00:00,2,27.795,49
2024-02-08T11:00:00,3,337.476,50
2024-02-08T12:00:00,1,0.0,52
2024-02-08T18:00:00,2,0.0,51
2024-02-08T19:00:00,5,301.481,50
2024-02-08T20:00:00,4,171.36,51
2024-02-08T21:00:00,8,296.183,48
2024-02-08T22:00:00,5,224.762,53
2024-02-08T23:00:00,5,689.247,56
2024-02-09T00:00:00,6,437.896,56
2024-02-09T01:00:00,9,1155.797,55
2024-02-09T02:00:00,9,703.063,52
2024-02-09T03:00:00,3,199.421,58
2024-02-09T04:00:00,8,868.327,58
2024-02-09T05:00:00,5,255.918,60
2024-02-09T06:00:00,0,55.681,61
2024-02-09T10:00:00,2,664.914,54
2024-02-10T01:00:00,5,261.169,24
2024-02-10T02:00:00,0,35.612,21
2024-02-10T03:00:00,3,41.723,13
2024-02-10T04:00:00,1,27.225,11
2024-02-10T05:00:00,2,264.633,7
2024-02-10T19:00:00,2,33.529,6
2024-02-10T23:00:00,2,57.936,6
2024-02-11T00:00:00,5,576.117,8
2024-02-11T01:00:00,1,4.526,8
2024-02-11T02:00:00,4,254.729,7
2024-02-11T03:00:00,0,2.13,9
2024-02-11T04:00:00,2,45.177,8
2024-02-11T11:00:00,1,0.0,7
2024-02-11T12:00:00,1,0.0,8
