postId,sourceIdentifier,totalCount,type,internal,search,site,platform,internal.postId,internal.collectionId,internal.profileId,internal.type,site.href,site.title,search.domain,search.keywords,title,creatorId,firstPublishedAt
41b264bd8d50,direct,5,DIRECT,,,,,,,,,,,,,Box AI APIおよびコンテンツプレビューUI ElementのBox AIでアプリケーションの機能を拡張,5c489a4342f7,2024-10-28T21:28:20
41b264bd8d50,google.com,3,SEARCH,,,,,,,,,,,google.com,[],Box AI APIおよびコンテンツプレビューUI ElementのBox AIでアプリケーションの機能を拡張,5c489a4342f7,2024-10-28T21:28:20
41b264bd8d50,Medium emails and notifications,2,INTERNAL,,,,,,,,EMAIL,,,,,Box AI APIおよびコンテンツプレビューUI ElementのBox AIでアプリケーションの機能を拡張,5c489a4342f7,2024-10-28T21:28:20
41b264bd8d50,medium.com/box-developer-japan-blog,1,INTERNAL,,,,,,,,POST,,,,,Box AI APIおよびコンテンツプレビューUI ElementのBox AIでアプリケーションの機能を拡張,5c489a4342f7,2024-10-28T21:28:20
41b264bd8d50,medium.com/@ytaniguchi,1,INTERNAL,,,,,,,,POST,,,,,Box AI APIおよびコンテンツプレビューUI ElementのBox AIでアプリケーションの機能を拡張,5c489a4342f7,2024-10-28T21:28:20
fd7a3b4d7c6b,google.com,5,SEARCH,,,,,,,,,,,google.com,[],[デモ] Box + Pinecone,5c489a4342f7,2024-10-25T06:05:06
fd7a3b4d7c6b,direct,3,DIRECT,,,,,,,,,,,,,[デモ] Box + Pinecone,5c489a4342f7,2024-10-25T06:05:06
fd7a3b4d7c6b,medium.com/@ytaniguchi,2,INTERNAL,,,,,,,,POST,,,,,[デモ] Box + Pinecone,5c489a4342f7,2024-10-25T06:05:06
fd7a3b4d7c6b,medium.com/box-developer-japan-blog,1,INTERNAL,,,,,,,,POST,,,,,[デモ] Box + Pinecone,5c489a4342f7,2024-10-25T06:05:06
27abc9a6481a,medium.com/@ytaniguchi,3,INTERNAL,,,,,,,,POST,,,,,LlamaIndex用のBox AIツール,5c489a4342f7,2024-10-21T00:22:29
27abc9a6481a,direct,2,DIRECT,,,,,,,,,,,,,LlamaIndex用のBox AIツール,5c489a4342f7,2024-10-21T00:22:29
27abc9a6481a,medium.com/box-developer-japan-blog,1,INTERNAL,,,,,,,,POST,,,,,LlamaIndex用のBox AIツール,5c489a4342f7,2024-10-21T00:22:29
969aa1dd679f,google.com,9,SEARCH,,,,,,,,,,,google.com,[],コンテンツに対する安全なRAG手法の探究,5c489a4342f7,2024-10-21T00:22:04
969aa1dd679f,medium.com/@ytaniguchi,3,INTERNAL,,,,,,,,PROFILE,,,,,コンテンツに対する安全なRAG手法の探究,5c489a4342f7,2024-10-21T00:22:04
969aa1dd679f,Android device (not Medium app),2,SITE,,,,,,,,,android-app://com.google.android.googlequicksearchbox/,,,,コンテンツに対する安全なRAG手法の探究,5c489a4342f7,2024-10-21T00:22:04
58503fcaf629,medium.com/box-developer-japan-blog,2,INTERNAL,,,,,,,,POST,,,,,[チュートリアル] Box AI API — AIモデルの上書きオプション,5c489a4342f7,2024-10-18T05:52:38
58503fcaf629,medium.com/@ytaniguchi,1,INTERNAL,,,,,,,,POST,,,,,[チュートリアル] Box AI API — AIモデルの上書きオプション,5c489a4342f7,2024-10-18T05:52:38
c9aa2ba9196e,medium.com/box-developer-japan-blog,6,INTERNAL,,,,,,,,POST,,,,,LlamaIndex用Boxツールの導入,5c489a4342f7,2024-10-04T02:33:13
c9aa2ba9196e,google.com,2,SEARCH,,,,,,,,,,,google.com,[],LlamaIndex用Boxツールの導入,5c489a4342f7,2024-10-04T02:33:13
c9aa2ba9196e,medium.com/@ytaniguchi,2,INTERNAL,,,,,,,,POST,,,,,LlamaIndex用Boxツールの導入,5c489a4342f7,2024-10-04T02:33:13
772a45d9d792,medium.com/box-developer-japan-blog,4,INTERNAL,,,,,,,,POST,,,,,[ビデオ] Box AI Platform API: パートナースポットライト — LlamaIndex,5c489a4342f7,2024-09-26T01:39:03
772a45d9d792,direct,2,DIRECT,,,,,,,,,,,,,[ビデオ] Box AI Platform API: パートナースポットライト — LlamaIndex,5c489a4342f7,2024-09-26T01:39:03
772a45d9d792,medium.com/@ytaniguchi,2,INTERNAL,,,,,,,,POST,,,,,[ビデオ] Box AI Platform API: パートナースポットライト — LlamaIndex,5c489a4342f7,2024-09-26T01:39:03
772a45d9d792,google.com,1,SEARCH,,,,,,,,,,,google.com,[],[ビデオ] Box AI Platform API: パートナースポットライト — LlamaIndex,5c489a4342f7,2024-09-26T01:39:03
772a45d9d792,medium.com/box-developer-japan-blog/latest,1,INTERNAL,,,,,,,,POST,,,,,[ビデオ] Box AI Platform API: パートナースポットライト — LlamaIndex,5c489a4342f7,2024-09-26T01:39:03
1404c69a3011,medium.com/box-developer-japan-blog,2,INTERNAL,,,,,,,,POST,,,,,[ビデオ] Box AI Platform APIの開発者によるラウンドテーブル,5c489a4342f7,2024-09-25T04:11:10
