timeWindowStart,viewers,readers
2023-06-18T20:00:00,15,14
2023-06-29T20:00:00,41,21
2023-07-22T20:00:00,5,2
2023-07-27T20:00:00,34,19
2024-10-06T20:00:00,78,47
2025-05-13T20:00:00,60,31
2023-02-14T19:00:00,21,6
2023-05-15T20:00:00,34,20
2025-07-24T20:00:00,24,11
2024-11-23T19:00:00,10,4
2025-04-10T20:00:00,40,20
2025-07-18T20:00:00,7,1
2024-01-12T19:00:00,9,7
2024-04-08T20:00:00,73,37
2024-12-06T19:00:00,16,8
2025-02-27T19:00:00,35,16
2023-02-01T19:00:00,28,14
2023-12-18T19:00:00,38,16
2023-02-20T19:00:00,20,8
2023-06-02T20:00:00,6,4
2023-09-27T20:00:00,24,14
2024-01-07T19:00:00,5,2
2024-06-15T20:00:00,16,7
2025-03-22T20:00:00,8,5
2025-03-24T20:00:00,42,20
2023-04-08T20:00:00,9,4
2023-05-03T20:00:00,10,10
2024-03-08T19:00:00,20,15
2024-03-22T20:00:00,7,4
2024-04-13T20:00:00,10,3
2024-04-26T20:00:00,11,6
2023-08-05T20:00:00,3,0
2024-02-13T19:00:00,42,21
2024-06-22T20:00:00,15,7
2025-06-23T20:00:00,54,25
2023-11-28T19:00:00,48,25
2025-04-25T20:00:00,6,5
2023-04-12T20:00:00,33,21
2023-10-14T20:00:00,5,2
2024-05-28T20:00:00,66,30
2024-06-13T20:00:00,79,45
2024-11-02T20:00:00,12,6
2025-04-14T20:00:00,50,28
2023-09-05T20:00:00,23,11
2024-05-23T20:00:00,89,47
2025-07-01T20:00:00,21,8
2023-09-26T20:00:00,11,7
2025-06-02T20:00:00,45,25
2024-03-30T20:00:00,11,4
2024-11-21T19:00:00,48,21
2023-02-23T19:00:00,19,9
2023-06-03T20:00:00,1,0
2024-01-28T19:00:00,45,33
2024-01-29T19:00:00,45,31
2024-03-14T20:00:00,89,47
2025-05-31T20:00:00,12,3
2025-07-04T20:00:00,8,6
2025-09-25T20:00:00,24,15
2023-04-18T20:00:00,15,5
2023-07-06T20:00:00,39,22
2024-04-11T20:00:00,92,42
2024-10-05T20:00:00,13,6
2024-12-27T19:00:00,6,2
2025-01-23T19:00:00,36,18
2025-07-08T20:00:00,39,24
2023-10-09T20:00:00,16,11
2024-03-12T20:00:00,88,48
2024-06-17T20:00:00,86,52
2024-07-14T20:00:00,18,10
2025-02-02T19:00:00,55,21
2023-06-16T20:00:00,1,1
2023-11-11T19:00:00,21,8
2024-08-19T20:00:00,71,37
