timeWindowStart,views,ttr,dailyUniqueVisitors
2023-04-05T20:00:00,7,111.006,105
2023-04-05T21:00:00,7,667.405,112
2023-04-05T22:00:00,5,421.416,117
2023-04-05T23:00:00,4,253.753,120
2023-04-06T00:00:00,9,275.536,121
2023-04-06T01:00:00,4,222.136,121
2023-04-06T02:00:00,15,439.615,120
2023-04-06T03:00:00,13,1381.267,124
2023-04-06T04:00:00,10,1000.493,125
2023-04-06T05:00:00,11,365.214,117
2023-04-06T06:00:00,3,234.646,120
2023-04-06T07:00:00,7,154.238,117
2023-04-06T08:00:00,2,71.394,119
2023-04-06T09:00:00,8,200.731,117
2023-04-06T10:00:00,4,129.593,120
2023-04-06T11:00:00,2,77.346,119
2023-04-06T12:00:00,4,394.742,119
2023-04-06T13:00:00,5,459.324,117
2023-04-06T14:00:00,10,585.345,114
2023-04-06T15:00:00,11,682.193,117
2023-04-06T16:00:00,6,25.709,122
2023-04-06T17:00:00,2,151.911,122
2023-04-06T18:00:00,2,206.715,122
2023-04-06T19:00:00,7,81.584,119
2023-04-06T20:00:00,7,466.887,116
2023-04-06T21:00:00,5,306.038,115
2023-04-06T22:00:00,4,23.165,111
2023-04-06T23:00:00,3,318.35,113
2023-04-07T00:00:00,5,910.166,112
2023-04-07T01:00:00,7,368.997,110
2023-04-07T02:00:00,5,384.46,112
2023-04-07T03:00:00,4,39.444,109
2023-04-07T04:00:00,17,1805.393,103
2023-04-07T05:00:00,7,229.938,106
2023-04-07T06:00:00,1,12.795,105
2023-04-07T07:00:00,3,148.596,103
2023-04-07T08:00:00,3,344.269,99
2023-04-07T09:00:00,4,162.772,98
2023-04-07T10:00:00,7,616.826,96
2023-04-07T11:00:00,5,121.516,100
2023-04-07T12:00:00,8,407.39,103
2023-04-07T13:00:00,6,395.686,109
2023-04-07T14:00:00,4,289.138,109
2023-04-07T15:00:00,5,83.938,102
2023-04-07T16:00:00,5,347.085,98
2023-04-07T17:00:00,2,187.453,96
2023-04-07T18:00:00,0,1.43,96
2023-04-07T19:00:00,2,277.188,94
2023-04-07T21:00:00,1,26.493,87
2023-04-07T22:00:00,2,52.443,85
2023-04-07T23:00:00,0,69.136,81
2023-04-08T01:00:00,0,2.353,75
2023-04-08T02:00:00,0,2.443,68
2023-04-08T03:00:00,3,125.536,64
2023-04-08T04:00:00,1,113.301,65
2023-04-08T05:00:00,0,38.835,57
2023-04-08T06:00:00,2,5.296,51
2023-04-08T07:00:00,2,118.437,52
2023-04-08T08:00:00,1,67.68,52
2023-04-08T09:00:00,2,234.16,50
2023-04-08T10:00:00,2,190.354,48
2023-04-08T11:00:00,1,35.376,43
2023-04-08T13:00:00,0,6.459,34
2023-04-08T14:00:00,1,11.123,31
2023-04-08T15:00:00,2,4.626,28
2023-04-08T16:00:00,1,33.704,26
2023-04-08T17:00:00,4,106.858,23
2023-04-08T18:00:00,3,61.61,23
2023-04-08T19:00:00,2,738.347,25
2023-04-08T20:00:00,2,365.527,26
2023-04-08T21:00:00,0,6.75,27
2023-04-08T22:00:00,1,79.079,26
2023-04-08T23:00:00,1,0.0,26
2023-04-09T00:00:00,1,6.567,27
2023-04-09T02:00:00,2,219.588,28
2023-04-09T03:00:00,1,327.143,30
2023-04-09T04:00:00,1,96.93,28
2023-04-09T05:00:00,3,10.861,28
2023-04-09T06:00:00,1,46.296,31
2023-04-09T07:00:00,3,489.995,30
2023-04-09T08:00:00,2,10.422,29
2023-04-09T09:00:00,0,0.317,30
2023-04-09T10:00:00,4,1044.221,28
2023-04-09T11:00:00,1,3.434,29
2023-04-09T13:00:00,4,429.358,29
2023-04-09T17:00:00,0,6.192,27
2023-04-09T18:00:00,3,394.901,25
2023-04-09T19:00:00,1,128.312,24
2023-04-09T20:00:00,5,434.909,23
2023-04-09T21:00:00,5,698.766,26
2023-04-09T22:00:00,5,484.495,30
2023-04-09T23:00:00,8,441.996,33
2023-04-10T00:00:00,4,535.415,37
2023-04-10T01:00:00,8,1515.89,38
2023-04-10T02:00:00,18,1980.295,44
2023-04-10T03:00:00,6,409.379,53
2023-04-10T04:00:00,5,134.127,55
2023-04-10T05:00:00,4,200.424,58
2023-04-10T06:00:00,3,256.192,58
2023-04-10T07:00:00,4,92.313,59
2023-04-10T08:00:00,5,30.615,61
2023-04-10T09:00:00,2,7.043,63
2023-04-10T10:00:00,4,64.308,64
2023-04-10T11:00:00,13,666.114,66
2023-04-10T12:00:00,9,306.819,74
2023-04-10T13:00:00,7,541.493,81
2023-04-10T14:00:00,11,647.918,85
2023-04-10T15:00:00,7,216.16,89
2023-04-10T16:00:00,3,49.146,92
2023-04-10T17:00:00,7,63.506,95
2023-04-10T18:00:00,4,86.672,98
2023-04-10T19:00:00,1,309.267,100
2023-04-10T20:00:00,12,583.868,100
2023-04-10T21:00:00,10,467.85,104
2023-04-10T22:00:00,13,1029.019,107
2023-04-10T23:00:00,4,103.722,112
2023-04-11T00:00:00,16,1447.168,109
2023-04-11T01:00:00,16,1450.478,118
2023-04-11T02:00:00,8,547.162,125
2023-04-11T03:00:00,5,412.107,119
2023-04-11T04:00:00,29,573.707,120
2023-04-11T05:00:00,24,260.395,123
2023-04-11T06:00:00,8,395.719,130
2023-04-11T07:00:00,6,304.638,133
2023-04-11T08:00:00,5,358.996,135
2023-04-11T09:00:00,11,810.625,134
2023-04-11T10:00:00,8,638.624,139
2023-04-11T11:00:00,6,104.775,139
2023-04-11T12:00:00,1,193.157,136
2023-04-11T13:00:00,9,211.679,130
2023-04-11T14:00:00,11,1036.068,131
2023-04-11T15:00:00,4,313.66,133
2023-04-11T16:00:00,11,701.828,133
2023-04-11T17:00:00,6,99.794,138
2023-04-11T18:00:00,1,1.066,139
2023-04-11T19:00:00,2,107.481,137
2023-04-11T20:00:00,5,111.341,138
2023-04-11T21:00:00,8,650.769,133
2023-04-11T22:00:00,7,1213.097,135
2023-04-11T23:00:00,0,31.001,132
2023-04-12T00:00:00,6,229.285,130
2023-04-12T01:00:00,5,368.694,127
2023-04-12T02:00:00,12,948.486,121
2023-04-12T03:00:00,10,591.79,123
2023-04-12T04:00:00,8,483.632,128
2023-04-12T05:00:00,4,24.056,128
2023-04-12T06:00:00,3,928.583,122
2023-04-12T07:00:00,2,72.039,117
2023-04-12T08:00:00,7,247.486,114
2023-04-12T09:00:00,18,2158.307,117
2023-04-12T10:00:00,6,270.461,119
2023-04-12T11:00:00,23,814.766,115
2023-04-12T12:00:00,9,442.214,119
2023-04-12T13:00:00,7,405.618,121
2023-04-12T14:00:00,14,746.787,123
2023-04-12T15:00:00,11,627.006,126
2023-04-12T16:00:00,10,447.737,129
2023-04-12T17:00:00,5,951.63,124
2023-04-12T18:00:00,1,186.604,123
2023-04-12T19:00:00,8,393.065,122
2023-04-12T20:00:00,6,78.716,127
2023-04-12T21:00:00,20,2349.202,127
2023-04-12T22:00:00,9,856.87,132
2023-04-12T23:00:00,8,266.26,135
2023-04-13T00:00:00,6,210.775,139
2023-04-13T01:00:00,8,270.609,137
2023-04-13T02:00:00,12,910.94,139
2023-04-13T03:00:00,9,1361.562,140
2023-04-13T04:00:00,14,1644.34,138
2023-04-13T05:00:00,8,591.81,139
2023-04-13T06:00:00,2,53.552,142
2023-04-13T07:00:00,9,322.942,143
2023-04-13T08:00:00,9,483.531,148
2023-04-13T09:00:00,14,629.996,144
2023-04-13T10:00:00,4,2367.428,141
