postId,sourceIdentifier,totalCount,type,internal,search,site,platform,internal.postId,internal.collectionId,internal.profileId,internal.type,site.href,site.title,search.domain,search.keywords
a74f7daa255a,direct,29,DIRECT,,,,,,,,,,,,
a74f7daa255a,linkedin.com,20,PLATFORM,,,,LINKEDIN,,,,,,,,
a74f7daa255a,Medium emails and notifications,6,INTERNAL,,,,,,,,EMAIL,,,,
a74f7daa255a,Android device (not Medium app),5,SITE,,,,,,,,,android-app://com.linkedin.android/,,,
a74f7daa255a,medium.comhome,1,INTERNAL,,,,,,,,POST,,,,
a74f7daa255a,iosApp,1,INTERNAL,,,,,,,,IOS,,,,
a74f7daa255a,medium.com/@barbosa-rmv,1,INTERNAL,,,,,,,,PROFILE,,,,
a74f7daa255a,medium.compush_notification,1,INTERNAL,,,,,,,,POST,,,,
a74f7daa255a,barbosa-rmv.medium.com,1,INTERNAL,,,,,,,,POST,,,,
db38b93a461d,direct,12,DIRECT,,,,,,,,,,,,
db38b93a461d,twitter.com,6,PLATFORM,,,,TWITTER,,,,,,,,
db38b93a461d,medium.com/box-developer-blog,3,INTERNAL,,,,,,,,POST,,,,
db38b93a461d,statics.teams.cdn.office.net,3,SITE,,,,,,,,,https://statics.teams.cdn.office.net/,,,
db38b93a461d,medium.com/box-developer-blog/sharing-100k-folders-with-the-box-platform-a74f7daa255a,1,INTERNAL,,,,,,,,POST,,,,
db38b93a461d,Unidentified feed reader,1,RSS,,,,,,,,,,,,
509384213e24,medium.com/box-developer-blog,2,INTERNAL,,,,,,,,POST,,,,
509384213e24,Unidentified feed reader,2,RSS,,,,,,,,,,,,
509384213e24,medium.com,1,INTERNAL,,,,,,,,POST,,,,
509384213e24,medium.com/box-developer-blog/new-box-cli-automation-templates-in-the-admin-console-db38b93a461d,1,INTERNAL,,,,,,,,POST,,,,
509384213e24,medium.com/box-developer-blog/box%E3%81%AE%E7%B5%B1%E5%90%88%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6-b6011fa24c5,1,INTERNAL,,,,,,,,POST,,,,
6d471ac65f86,Unidentified feed reader,2,RSS,,,,,,,,,,,,
6d471ac65f86,medium.com/box-developer-blog,1,INTERNAL,,,,,,,,POST,,,,
6d471ac65f86,medium.com,1,INTERNAL,,,,,,,,POST,,,,
6d471ac65f86,direct,1,DIRECT,,,,,,,,,,,,
b6011fa24c5,medium.com/box-developer-blog,4,INTERNAL,,,,,,,,POST,,,,
b6011fa24c5,direct,4,DIRECT,,,,,,,,,,,,
b6011fa24c5,medium.com/box-developer-blog/%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%84%E3%83%97%E3%83%AC%E3%83%93%E3%83%A5%E3%83%BCui-element%E3%81%AE%E6%B3%A8%E9%87%88%E6%A9%9F%E8%83%BD-509384213e24,1,INTERNAL,,,,,,,,POST,,,,
b6011fa24c5,medium.com,1,INTERNAL,,,,,,,,POST,,,,
b6011fa24c5,medium.com/search,1,INTERNAL,,,,,,,,COLLECTION,,,,
b6011fa24c5,Unidentified feed reader,1,RSS,,,,,,,,,,,,
9c5e1382d03d,direct,58,DIRECT,,,,,,,,,,,,
9c5e1382d03d,linkedin.com,20,PLATFORM,,,,LINKEDIN,,,,,,,,
9c5e1382d03d,mail.google.com,7,PLATFORM,,,,GMAIL,,,,,,,,
9c5e1382d03d,medium.com/box-developer-blog,4,INTERNAL,,,,,,,,ACTIVITY,,,,
9c5e1382d03d,Unidentified feed reader,3,RSS,,,,,,,,,,,,
9c5e1382d03d,Android device (not Medium app),2,SITE,,,,,,,,,android-app://com.linkedin.android/,,,
9c5e1382d03d,appleinc.webex.com,1,SITE,,,,,,,,,https://appleinc.webex.com/,,,
9c5e1382d03d,medium.com/me/notifications,1,INTERNAL,,,,,,,,POST,,,,
9c5e1382d03d,medium.com/box-developer-blog/box-platform%E3%81%AE%E3%81%95%E3%82%89%E3%81%AA%E3%82%8B%E5%88%A9%E7%94%A8%E6%96%B9%E6%B3%95-4482302d0e1,1,INTERNAL,,,,,,,,POST,,,,
9c5e1382d03d,medium.com,1,INTERNAL,,,,,,,,POST,,,,
9c5e1382d03d,medium.com/@ytaniguchi,1,INTERNAL,,,,,,,,PROFILE,,,,
9c5e1382d03d,medium.com/box-developer-blog/stories/published,1,INTERNAL,,,,,,,,POST,,,,
bbb30eeb6839,direct,65,DIRECT,,,,,,,,,,,,
bbb30eeb6839,linkedin.com,12,PLATFORM,,,,LINKEDIN,,,,,,,,
bbb30eeb6839,Android device (not Medium app),5,SITE,,,,,,,,,android-app://com.linkedin.android/,,,
bbb30eeb6839,medium.com/box-developer-blog/annotations-in-content-preview-ui-element-9c5e1382d03d,4,INTERNAL,,,,,,,,POST,,,,
bbb30eeb6839,medium.com/box-developer-blog,3,INTERNAL,,,,,,,,POST,,,,
bbb30eeb6839,Medium emails and notifications,3,INTERNAL,,,,,,,,EMAIL,,,,
bbb30eeb6839,Unidentified feed reader,2,RSS,,,,,,,,,,,,
bbb30eeb6839,medium.com/box-developer-blog/stats/stories,1,INTERNAL,,,,,,,,POST,,,,
bbb30eeb6839,medium.comhome,1,INTERNAL,,,,,,,,POST,,,,
bbb30eeb6839,twitter.com,1,PLATFORM,,,,TWITTER,,,,,,,,
bbb30eeb6839,medium.com/@anovotny_12970,1,INTERNAL,,,,,,,,POST,,,,
bbb30eeb6839,medium.com,1,INTERNAL,,,,,,,,POST,,,,
bbb30eeb6839,mail.google.com,1,PLATFORM,,,,GMAIL,,,,,,,,
6258891d95c4,direct,71,DIRECT,,,,,,,,,,,,
6258891d95c4,linkedin.com,40,PLATFORM,,,,LINKEDIN,,,,,,,,
6258891d95c4,medium.com/box-developer-blog,14,INTERNAL,,,,,,,,POST,,,,
