periodStartedAt,views,internalReferrerViews,memberTtr,id
2022-10-31T20:00:00,42,10,0.081,a74f7daa255a
2022-11-01T20:00:00,3,0,0.0,a74f7daa255a
2022-10-30T20:00:00,10,0,0.0,db38b93a461d
2022-10-31T20:00:00,10,3,0.0,db38b93a461d
2022-11-01T20:00:00,1,1,0.0,db38b93a461d
2022-10-27T20:00:00,2,2,0.0,509384213e24
2022-10-30T20:00:00,2,2,0.0,509384213e24
2022-10-31T20:00:00,1,1,0.0,509384213e24
2022-10-27T20:00:00,1,1,0.0,6d471ac65f86
2022-10-30T20:00:00,0,0,0.0,6d471ac65f86
2022-10-31T20:00:00,2,1,0.0,6d471ac65f86
2022-10-27T20:00:00,4,3,0.0,b6011fa24c5
2022-10-29T20:00:00,1,0,0.0,b6011fa24c5
2022-10-30T20:00:00,2,1,0.0,b6011fa24c5
2022-10-31T20:00:00,2,1,0.0,b6011fa24c5
2022-11-01T20:00:00,1,1,0.0,b6011fa24c5
2022-10-26T20:00:00,23,4,0.015,9c5e1382d03d
2022-10-27T20:00:00,47,3,0.0,9c5e1382d03d
2022-10-28T20:00:00,1,0,0.0,9c5e1382d03d
2022-10-29T20:00:00,3,1,0.0,9c5e1382d03d
2022-10-30T20:00:00,10,0,0.0,9c5e1382d03d
2022-10-31T20:00:00,4,1,0.0,9c5e1382d03d
2022-10-24T20:00:00,30,0,0.0,bbb30eeb6839
2022-10-25T20:00:00,25,5,0.0,bbb30eeb6839
2022-10-26T20:00:00,17,5,0.0,bbb30eeb6839
2022-10-27T20:00:00,10,3,0.0,bbb30eeb6839
2022-10-29T20:00:00,1,0,0.0,bbb30eeb6839
2022-10-30T20:00:00,7,1,0.0,bbb30eeb6839
2022-10-31T20:00:00,1,0,0.0,bbb30eeb6839
2022-11-01T20:00:00,2,0,0.0,bbb30eeb6839
2022-10-18T20:00:00,42,1,0.005,6258891d95c4
2022-10-19T20:00:00,34,5,0.0,6258891d95c4
2022-10-20T20:00:00,16,6,0.138,6258891d95c4
2022-10-21T20:00:00,4,0,0.0,6258891d95c4
2022-10-22T20:00:00,7,3,0.0,6258891d95c4
2022-10-23T20:00:00,12,3,0.0,6258891d95c4
2022-10-24T20:00:00,9,1,0.0,6258891d95c4
2022-10-25T20:00:00,8,2,0.0,6258891d95c4
2022-10-26T20:00:00,10,4,0.0,6258891d95c4
2022-10-27T20:00:00,3,2,0.0,6258891d95c4
2022-10-29T20:00:00,1,0,0.0,6258891d95c4
2022-10-31T20:00:00,4,1,0.0,6258891d95c4
2022-11-01T20:00:00,1,0,0.0,6258891d95c4
2022-10-16T20:00:00,3,1,0.0,4482302d0e1
2022-10-17T20:00:00,3,2,0.0,4482302d0e1
2022-10-18T20:00:00,2,1,0.0,4482302d0e1
2022-10-19T20:00:00,1,0,0.0,4482302d0e1
2022-10-20T20:00:00,2,2,0.0,4482302d0e1
2022-10-23T20:00:00,1,0,0.0,4482302d0e1
2022-10-26T20:00:00,2,1,0.0,4482302d0e1
2022-10-27T20:00:00,2,1,0.0,4482302d0e1
2022-10-30T20:00:00,1,1,0.0,4482302d0e1
2022-10-31T20:00:00,1,1,0.0,4482302d0e1
2022-11-01T20:00:00,1,0,0.0,4482302d0e1
2022-10-12T20:00:00,41,15,0.048,9264a0efb0a
2022-10-13T20:00:00,39,18,0.28,9264a0efb0a
2022-10-14T20:00:00,2,1,0.0,9264a0efb0a
2022-10-15T20:00:00,1,0,0.0,9264a0efb0a
2022-10-16T20:00:00,10,2,0.0,9264a0efb0a
2022-10-17T20:00:00,13,1,0.0,9264a0efb0a
2022-10-18T20:00:00,4,0,0.0,9264a0efb0a
2022-10-19T20:00:00,6,1,0.0,9264a0efb0a
2022-10-20T20:00:00,6,1,0.0,9264a0efb0a
2022-10-21T20:00:00,2,0,0.15,9264a0efb0a
2022-10-23T20:00:00,4,1,0.0,9264a0efb0a
2022-10-24T20:00:00,7,4,0.0,9264a0efb0a
2022-10-25T20:00:00,2,0,0.0,9264a0efb0a
2022-10-26T20:00:00,5,0,0.0,9264a0efb0a
2022-10-27T20:00:00,4,2,0.0,9264a0efb0a
2022-10-28T20:00:00,1,0,0.0,9264a0efb0a
2022-10-29T20:00:00,1,1,0.0,9264a0efb0a
2022-10-30T20:00:00,2,0,0.0,9264a0efb0a
2022-10-10T20:00:00,30,1,0.0,6f97a6d3281b
2022-10-11T20:00:00,16,5,0.0,6f97a6d3281b
2022-10-12T20:00:00,12,0,0.0,6f97a6d3281b
2022-10-13T20:00:00,6,4,0.0,6f97a6d3281b
2022-10-14T20:00:00,1,0,0.0,6f97a6d3281b
2022-10-16T20:00:00,5,0,0.0,6f97a6d3281b
2022-10-17T20:00:00,15,1,0.0,6f97a6d3281b
2022-10-18T20:00:00,11,2,0.0,6f97a6d3281b
2022-10-19T20:00:00,9,0,0.0,6f97a6d3281b
2022-10-20T20:00:00,8,1,0.0,6f97a6d3281b
2022-10-22T20:00:00,2,0,0.0,6f97a6d3281b
2022-10-23T20:00:00,3,0,0.0,6f97a6d3281b
2022-10-24T20:00:00,3,0,0.0,6f97a6d3281b
2022-10-25T20:00:00,2,0,0.0,6f97a6d3281b
