timeWindowStart,views,ttr,dailyUniqueVisitors
2022-10-03T00:00:00,5,1414.974,41
2022-10-03T01:00:00,8,890.084,39
2022-10-03T02:00:00,9,439.028,44
2022-10-03T03:00:00,16,822.01,46
2022-10-03T04:00:00,16,770.846,57
2022-10-03T05:00:00,6,149.627,68
2022-10-03T06:00:00,4,139.825,74
2022-10-03T07:00:00,5,200.138,76
2022-10-03T08:00:00,6,237.333,78
2022-10-03T09:00:00,4,191.739,82
2022-10-03T10:00:00,2,144.35,85
2022-10-03T11:00:00,7,396.476,82
2022-10-03T12:00:00,8,1571.118,88
2022-10-03T13:00:00,5,1303.908,93
2022-10-03T14:00:00,9,340.181,94
2022-10-03T15:00:00,7,628.089,99
2022-10-03T16:00:00,9,1932.878,101
2022-10-03T17:00:00,9,560.621,107
2022-10-03T18:00:00,3,107.321,112
2022-10-03T19:00:00,4,174.786,112
2022-10-03T20:00:00,4,254.734,113
2022-10-03T21:00:00,8,546.129,115
2022-10-03T22:00:00,4,113.179,120
2022-10-03T23:00:00,4,5.787,118
2022-10-04T00:00:00,6,165.144,119
2022-10-04T01:00:00,6,356.18,123
2022-10-04T02:00:00,4,147.704,122
2022-10-04T03:00:00,16,816.364,121
2022-10-04T04:00:00,4,290.007,115
2022-10-04T05:00:00,3,34.309,106
2022-10-04T06:00:00,8,335.448,103
2022-10-04T07:00:00,2,117.246,102
2022-10-04T08:00:00,0,4.918,101
2022-10-04T09:00:00,4,98.323,96
2022-10-04T10:00:00,7,307.82,96
2022-10-04T11:00:00,8,457.337,96
2022-10-04T12:00:00,11,685.028,97
2022-10-04T13:00:00,8,499.425,99
2022-10-04T14:00:00,2,69.548,100
2022-10-04T15:00:00,9,38.908,95
2022-10-04T16:00:00,10,350.047,94
2022-10-04T17:00:00,8,102.343,96
2022-10-04T18:00:00,5,112.386,94
2022-10-04T19:00:00,6,227.305,94
2022-10-04T20:00:00,4,189.958,92
2022-10-04T21:00:00,1,96.248,93
2022-10-04T22:00:00,9,389.327,86
2022-10-04T23:00:00,1,343.521,90
2022-10-05T00:00:00,8,438.36,88
2022-10-05T01:00:00,3,119.548,89
2022-10-05T02:00:00,11,262.747,87
2022-10-05T03:00:00,3,27.029,94
2022-10-05T04:00:00,5,144.102,90
2022-10-05T05:00:00,6,713.105,89
2022-10-05T06:00:00,3,100.773,93
2022-10-05T07:00:00,6,193.052,92
2022-10-05T08:00:00,11,240.622,96
2022-10-05T09:00:00,9,295.665,102
2022-10-05T10:00:00,5,199.246,105
2022-10-05T11:00:00,2,9.524,109
2022-10-05T12:00:00,7,377.261,104
2022-10-05T13:00:00,10,213.605,105
2022-10-05T14:00:00,15,355.914,108
2022-10-05T15:00:00,1,84.701,112
2022-10-05T16:00:00,5,69.51,109
2022-10-05T17:00:00,3,74.925,107
2022-10-05T18:00:00,6,151.392,106
2022-10-05T19:00:00,2,114.667,107
2022-10-05T20:00:00,4,149.153,107
2022-10-05T21:00:00,12,552.982,107
2022-10-05T23:00:00,4,90.139,106
2022-10-06T00:00:00,5,395.885,108
2022-10-06T01:00:00,4,117.448,108
2022-10-06T02:00:00,12,250.664,110
2022-10-06T03:00:00,7,511.401,107
2022-10-06T04:00:00,7,438.872,110
2022-10-06T05:00:00,6,1592.427,113
2022-10-06T06:00:00,11,489.425,113
2022-10-06T07:00:00,10,395.461,118
2022-10-06T08:00:00,3,295.172,121
2022-10-06T09:00:00,7,562.123,116
2022-10-06T10:00:00,5,194.203,114
2022-10-06T11:00:00,7,326.578,113
2022-10-06T12:00:00,6,24.492,114
2022-10-06T13:00:00,3,19.799,112
2022-10-06T14:00:00,9,272.597,108
2022-10-06T15:00:00,8,381.043,108
2022-10-06T16:00:00,4,82.844,112
2022-10-06T18:00:00,5,309.427,110
2022-10-06T19:00:00,6,203.288,110
2022-10-06T20:00:00,5,940.319,114
2022-10-06T21:00:00,6,1300.917,113
2022-10-06T22:00:00,9,816.384,110
2022-10-06T23:00:00,4,1031.222,115
2022-10-07T00:00:00,8,243.753,113
2022-10-07T01:00:00,6,616.485,114
2022-10-07T02:00:00,8,288.963,116
2022-10-07T03:00:00,11,1093.137,115
2022-10-07T04:00:00,5,782.832,118
2022-10-07T05:00:00,8,386.357,115
2022-10-07T06:00:00,3,148.426,114
2022-10-07T07:00:00,6,2381.489,109
2022-10-07T08:00:00,10,1017.734,106
2022-10-07T09:00:00,6,221.873,110
2022-10-07T10:00:00,2,15.947,109
2022-10-07T11:00:00,6,119.021,106
2022-10-07T12:00:00,7,390.678,109
2022-10-07T13:00:00,5,375.662,110
2022-10-07T14:00:00,1,44.006,111
2022-10-07T15:00:00,10,246.762,104
2022-10-07T16:00:00,10,280.921,106
2022-10-07T17:00:00,5,614.01,107
2022-10-07T18:00:00,5,2.609,111
2022-10-07T19:00:00,4,117.08,110
2022-10-07T20:00:00,3,54.433,108
2022-10-07T21:00:00,0,3.525,109
2022-10-07T22:00:00,0,3.691,105
2022-10-07T23:00:00,3,462.337,99
2022-10-08T01:00:00,1,3.734,93
2022-10-08T02:00:00,1,243.442,90
2022-10-08T03:00:00,1,5.055,84
2022-10-08T05:00:00,1,11.358,73
2022-10-08T07:00:00,2,8.829,67
2022-10-08T08:00:00,5,269.237,63
2022-10-08T09:00:00,4,15.02,59
2022-10-08T10:00:00,1,60.428,57
2022-10-08T11:00:00,1,1.004,57
2022-10-08T12:00:00,1,0.0,51
2022-10-08T13:00:00,4,30.315,47
2022-10-08T14:00:00,5,47.945,46
2022-10-08T15:00:00,0,3.36,47
2022-10-08T16:00:00,4,305.236,41
2022-10-08T18:00:00,2,4.39,34
2022-10-08T19:00:00,1,161.249,32
2022-10-08T20:00:00,2,60.379,29
2022-10-08T22:00:00,2,6.161,27
2022-10-08T23:00:00,2,0.0,29
2022-10-09T01:00:00,2,56.293,29
2022-10-09T03:00:00,0,8.107,29
2022-10-09T04:00:00,1,33.913,28
2022-10-09T05:00:00,1,12.555,29
2022-10-09T06:00:00,2,90.947,29
2022-10-09T07:00:00,2,17.964,31
2022-10-09T08:00:00,3,314.656,31
2022-10-09T09:00:00,3,536.282,30
2022-10-09T10:00:00,1,0.0,28
2022-10-09T11:00:00,6,13.945,28
2022-10-09T12:00:00,10,217.466,28
2022-10-09T13:00:00,4,50.733,31
2022-10-09T14:00:00,2,10.007,30
2022-10-09T15:00:00,5,11.212,28
2022-10-09T16:00:00,5,44.625,29
2022-10-09T17:00:00,5,142.559,30
2022-10-09T18:00:00,3,115.289,32
2022-10-09T19:00:00,2,0.0,34
2022-10-09T20:00:00,3,50.004,35
2022-10-09T21:00:00,4,45.324,36
2022-10-09T23:00:00,4,262.397,37
2022-10-10T00:00:00,7,195.229,39
2022-10-10T01:00:00,2,19.01,43
2022-10-10T02:00:00,4,349.543,42
2022-10-10T03:00:00,5,60.209,43
2022-10-10T04:00:00,3,42.03,48
2022-10-10T05:00:00,4,114.062,50
2022-10-10T06:00:00,4,105.165,53
2022-10-10T07:00:00,4,9.411,55
2022-10-10T08:00:00,7,213.915,56
2022-10-10T09:00:00,1,163.95,60
2022-10-10T10:00:00,5,126.344,60
2022-10-10T11:00:00,5,169.889,64
2022-10-10T12:00:00,4,352.963,69
2022-10-10T13:00:00,1,62.001,67
2022-10-10T14:00:00,4,235.769,68
2022-10-10T15:00:00,5,87.358,71
2022-10-10T16:00:00,11,186.544,73
2022-10-10T17:00:00,2,17.786,72
2022-10-10T18:00:00,9,728.371,72
2022-10-10T19:00:00,4,510.971,73
2022-10-10T20:00:00,11,506.322,73
2022-10-10T21:00:00,6,796.049,77
2022-10-10T22:00:00,5,124.116,76
2022-10-10T23:00:00,14,690.771,80
2022-10-11T00:00:00,3,62.017,79
2022-10-11T01:00:00,12,450.198,78
2022-10-11T02:00:00,9,256.606,86
2022-10-11T03:00:00,10,170.768,92
2022-10-11T04:00:00,9,575.183,94
2022-10-11T05:00:00,6,173.993,99
2022-10-11T06:00:00,7,414.968,99
