timeWindowStart,views,ttr,dailyUniqueVisitors
2023-07-24T22:00:00,1,73.488,2
2023-07-25T20:00:00,1,18.476,1
2023-07-26T20:00:00,1,1.79,1
2023-07-29T12:00:00,1,0.0,
2023-07-30T00:00:00,1,1.812,1
2023-07-30T11:00:00,1,1.587,2
2023-07-31T00:00:00,1,3.287,1
2023-07-31T01:00:00,1,32.935,2
2023-07-31T04:00:00,1,244.249,3
2023-07-31T21:00:00,1,25.649,3
2023-07-31T23:00:00,1,5.342,4
2023-08-03T14:00:00,1,0.0,
2023-08-03T19:00:00,1,0.0,1
2023-08-03T20:00:00,2,52.683,2
2023-08-03T21:00:00,3,0.0,3
2023-08-04T00:00:00,1,1.653,3
2023-08-04T01:00:00,6,94.768,4
2023-08-04T02:00:00,1,9.43,6
2023-08-07T01:00:00,2,24.896,
2023-08-07T21:00:00,1,6.182,1
2023-08-08T00:00:00,1,0.999,2
2023-08-08T03:00:00,2,144.864,2
2023-08-08T06:00:00,1,116.993,4
2023-08-08T18:00:00,1,0.0,4
2023-08-08T21:00:00,1,0.0,5
2023-08-09T07:00:00,1,38.342,1
2023-08-09T11:00:00,0,1.001,2
2023-08-13T20:00:00,1,23.221,
2023-08-14T06:00:00,1,22.741,1
2023-08-15T02:00:00,0,1.138,1
2023-08-15T13:00:00,0,1.361,
2023-08-16T02:00:00,1,54.126,
2023-08-16T03:00:00,1,70.795,1
2023-08-16T20:00:00,2,32.332,2
2023-08-17T00:00:00,1,1.0,3
2023-08-17T23:00:00,0,3.849,1
2023-08-18T01:00:00,0,66.696,
2023-08-19T21:00:00,1,11.289,
2023-08-21T04:00:00,1,24.344,
2023-08-22T01:00:00,1,2.071,1
2023-08-22T03:00:00,1,1.158,2
2023-08-24T02:00:00,1,9.553,
2023-08-24T09:00:00,1,17.828,1
2023-08-24T21:00:00,1,20.706,2
2023-08-25T03:00:00,1,2.747,2
2023-08-26T01:00:00,1,0.997,1
2023-08-27T01:00:00,1,9.554,1
2023-08-27T11:00:00,1,5.414,1
2023-08-27T21:00:00,1,1.999,1
2023-08-28T10:00:00,1,0.0,2
2023-08-28T14:00:00,1,0.0,2
