postId,slug,title,creatorId,collectionId,upvotes,views,reads,createdAt,firstPublishedAt,visibility,firstPublishedAtBucket,readingTime,syndicatedViews,claps,updateNotificationSubscribers,isSeries,internalReferrerViews,friendsLinkViews,type,daysSincePublished
c6648ff9f763,box-salesforce-box-signの書き戻しフロー,Box + Salesforce: Box Signの書き戻しフロー,5c489a4342f7,d4dda281ea02,0,0,0,2023-10-30T22:48:19,2023-10-31T01:26:19,0,October 2023,9,0,0,0,False,0,0,PostStat,1
5451538f836a,box-postmanの高度なコレクション,Box Postmanの高度なコレクション,5c489a4342f7,d4dda281ea02,0,0,0,2023-10-31T01:07:44,2023-10-31T01:24:48,0,October 2023,9,0,0,0,False,0,0,PostStat,1
04d68a666d95,boxでファイルレプリゼンテーションを最大限活用する,Boxでファイルレプリゼンテーションを最大限活用する,5c489a4342f7,d4dda281ea02,0,3,1,2023-10-30T22:27:41,2023-10-30T22:42:19,0,October 2023,13,0,0,0,False,0,0,PostStat,2
5d1595a6d125,最初のbox-node-jsアプリのデバッグで学んだすべてのこと,最初のBox Node.jsアプリのデバッグで学んだすべてのこと,5c489a4342f7,d4dda281ea02,2,2,0,2023-10-30T22:05:10,2023-10-30T22:25:00,0,October 2023,10,0,6,0,False,0,0,PostStat,2
3a18fd5d0656,box-platformの基本用語集,Box Platformの基本用語集,5c489a4342f7,d4dda281ea02,0,1,0,2023-10-30T21:20:03,2023-10-30T22:04:11,0,October 2023,10,0,0,0,False,1,0,PostStat,2
e261c7d90d45,共有リンクの説明-開発者向けガイド,共有リンクの説明: 開発者向けガイド,5c489a4342f7,d4dda281ea02,0,4,3,2023-10-12T01:50:30,2023-10-12T02:09:52,0,October 2023,10,0,0,0,False,3,0,PostStat,20
328dc12d3af4,box-salesforce-slack統合マッピングを備えたフロー,Box + Salesforce: Slack統合マッピングを備えたフロー,5c489a4342f7,d4dda281ea02,0,5,1,2023-10-12T01:26:55,2023-10-12T01:49:03,0,October 2023,12,0,0,0,False,5,0,PostStat,20
d533c1d72b32,box-salesforce-画面フローとexperience-cloud,Box + Salesforce: 画面フローとExperience Cloud,5c489a4342f7,d4dda281ea02,0,3,2,2023-10-11T03:15:40,2023-10-11T03:47:35,0,October 2023,12,0,0,0,False,2,0,PostStat,21
47cb340efa7e,新機能-box-typescript-sdk-generated,[新機能] Box TypeScript SDK Generated,5c489a4342f7,d4dda281ea02,0,5,2,2023-10-05T02:41:30,2023-10-05T02:58:19,0,October 2023,7,0,0,0,False,3,0,PostStat,27
f9360a052e41,box-platformの基本-認証方法の基礎,Box Platformの基本: 認証方法の基礎,5c489a4342f7,d4dda281ea02,0,4,1,2023-10-04T03:31:35,2023-10-04T03:49:42,0,October 2023,10,0,0,0,False,3,0,PostStat,28
90704ffa65cf,box-platformでの開発をすぐに始めるためのchatgpt活用法,Box Platformでの開発をすぐに始めるためのChatGPT活用法,5c489a4342f7,d4dda281ea02,0,16,3,2023-10-04T03:06:12,2023-10-04T03:30:09,0,October 2023,35,0,0,0,False,5,0,PostStat,28
702a24e5826b,box-enterprise-event-apiとpython,Box Enterprise Event: APIとPython,5c489a4342f7,d4dda281ea02,0,5,2,2023-09-12T03:27:29,2023-10-03T04:08:36,0,October 2023,12,0,0,0,False,2,0,PostStat,29
32b349909df0,box-user-event-rest-apiとpython,Box User Event: REST APIとPython,5c489a4342f7,d4dda281ea02,0,2,2,2023-09-12T03:07:04,2023-10-03T04:07:40,0,October 2023,11,0,0,0,False,1,0,PostStat,29
a128cf93655d,box-api-セキュリティについて,Box API: セキュリティについて,ca4be285f45a,d4dda281ea02,0,9,4,2021-05-11T15:29:41,2023-09-28T02:48:14,0,September 2023,10,0,0,0,False,6,0,PostStat,34
fe09bd0c02e1,イベントについて,イベントについて,5c489a4342f7,d4dda281ea02,0,13,4,2023-08-28T22:42:39,2023-08-29T03:02:55,0,August 2023,10,4,0,0,False,4,0,PostStat,64
e3496d610f59,jwtを使用したbox-node-js-sdkの認証,JWTを使用したBox Node.js SDKの認証,5c489a4342f7,d4dda281ea02,0,34,6,2023-08-16T11:09:19,2023-08-16T12:01:59,0,August 2023,11,2,0,0,False,13,0,PostStat,77
dc6a55ce500c,pythonを使用してboxにフォルダを再帰的にアップロードする方法,Pythonを使用してBoxにフォルダを再帰的にアップロードする方法,5c489a4342f7,d4dda281ea02,0,55,21,2023-08-03T02:50:05,2023-08-03T03:11:33,0,August 2023,11,2,0,0,False,16,0,PostStat,90
d3faab7b2bfa,box-app-userについて,Box App Userについて,5c489a4342f7,d4dda281ea02,0,71,38,2023-07-26T23:54:38,2023-07-27T02:30:56,0,July 2023,10,2,0,0,False,22,0,PostStat,97
53f64573fa9b,新機能-slack統合フォルダマッピングを管理するためのcli自動化テンプレート,新機能: Slack統合フォルダマッピングを管理するためのCLI自動化テンプレート,5c489a4342f7,d4dda281ea02,0,22,9,2023-07-27T00:12:50,2023-07-27T02:30:53,0,July 2023,14,3,0,0,False,9,0,PostStat,97
5948c3f1bc2d,rusty-box-box-api用rustクライアントの作成,Rusty Box: Box API用Rustクライアントの作成,5c489a4342f7,d4dda281ea02,0,51,24,2023-06-25T22:33:08,2023-06-26T03:06:40,0,June 2023,5,2,0,0,False,7,0,PostStat,128
908f62bfa6c9,新しいbox開発者コミュニティにご参加ください,新しいBox Developer Communityにご参加ください,5c489a4342f7,d4dda281ea02,0,37,16,2023-06-19T21:27:03,2023-06-20T01:40:47,0,June 2023,4,1,0,0,False,18,0,PostStat,134
