timeWindowStart,views,ttr,dailyUniqueVisitors
2024-01-02T20:00:00,1,1.0,1
2024-01-03T02:00:00,2,155.277,2
2024-01-03T08:00:00,4,118.862,4
2024-01-03T13:00:00,1,22.955,4
2024-01-03T18:00:00,2,2.202,5
2024-01-03T19:00:00,3,0.0,7
2024-01-03T20:00:00,7,326.566,9
2024-01-03T21:00:00,4,422.227,13
2024-01-03T23:00:00,2,9.843,15
2024-01-04T00:00:00,3,141.453,16
2024-01-04T01:00:00,7,315.626,19
2024-01-04T02:00:00,7,85.002,22
2024-01-04T03:00:00,3,233.912,24
2024-01-04T04:00:00,2,12.221,25
2024-01-04T07:00:00,1,2.95,26
2024-01-04T08:00:00,1,854.872,26
2024-01-04T09:00:00,1,0.0,26
2024-01-04T11:00:00,1,49.818,27
2024-01-04T18:00:00,1,0.0,27
2024-01-04T19:00:00,4,300.43,27
2024-01-04T20:00:00,3,205.507,28
2024-01-04T21:00:00,7,302.115,26
2024-01-04T22:00:00,1,22.372,26
2024-01-04T23:00:00,3,294.179,27
2024-01-05T00:00:00,3,116.059,28
2024-01-05T01:00:00,2,34.279,27
2024-01-05T02:00:00,1,10.287,27
2024-01-05T03:00:00,11,1151.184,25
2024-01-05T04:00:00,3,322.992,26
2024-01-05T05:00:00,2,278.088,26
2024-01-05T06:00:00,2,32.487,27
2024-01-05T08:00:00,1,75.52,28
2024-01-05T17:00:00,1,93.739,26
2024-01-05T19:00:00,1,0.0,26
2024-01-05T20:00:00,2,151.253,25
2024-01-05T21:00:00,3,82.782,23
2024-01-05T22:00:00,1,52.861,22
2024-01-06T04:00:00,2,186.368,11
2024-01-06T05:00:00,7,851.173,10
2024-01-06T06:00:00,1,172.185,10
2024-01-06T07:00:00,3,433.077,9
2024-01-06T08:00:00,0,295.575,9
2024-01-06T09:00:00,4,359.449,8
2024-01-06T11:00:00,1,24.803,8
2024-01-06T16:00:00,2,36.416,8
2024-01-06T19:00:00,1,2.79,8
2024-01-06T21:00:00,1,0.0,8
2024-01-06T22:00:00,2,264.802,8
2024-01-07T01:00:00,2,288.42,9
2024-01-07T02:00:00,1,115.94,11
2024-01-07T03:00:00,2,104.204,12
2024-01-07T04:00:00,1,3.865,13
2024-01-07T06:00:00,4,127.248,11
2024-01-07T07:00:00,2,141.765,11
2024-01-07T08:00:00,3,78.331,12
2024-01-07T09:00:00,0,6.471,12
2024-01-07T15:00:00,1,20.369,12
2024-01-07T23:00:00,1,33.052,9
2024-01-08T01:00:00,1,1.778,9
2024-01-08T03:00:00,1,2.905,8
