postId,sourceIdentifier,totalCount,type,internal,search,site,platform,internal.postId,internal.collectionId,internal.profileId,internal.type,site.href,site.title,search.domain,search.keywords,title,creatorId,firstPublishedAt
6ac1e1070143,direct,2,DIRECT,,,,,,,,,,,,,Box Platform開発者エコシステムのご案内,5c489a4342f7,2024-06-28T22:35:29
6ac1e1070143,medium.com/box-developer-japan-blog,2,INTERNAL,,,,,,,,POST,,,,,Box Platform開発者エコシステムのご案内,5c489a4342f7,2024-06-28T22:35:29
6ac1e1070143,Medium emails and notifications,1,INTERNAL,,,,,,,,EMAIL,,,,,Box Platform開発者エコシステムのご案内,5c489a4342f7,2024-06-28T22:35:29
230d71fd155e,direct,3,DIRECT,,,,,,,,,,,,,Box UI Elements、React、Tailwind CSS、Vercelを使用したコンテンツポータルの作成 (パート1),5c489a4342f7,2024-06-27T04:59:29
230d71fd155e,medium.com/box-developer-japan-blog,1,INTERNAL,,,,,,,,POST,,,,,Box UI Elements、React、Tailwind CSS、Vercelを使用したコンテンツポータルの作成 (パート1),5c489a4342f7,2024-06-27T04:59:29
230d71fd155e,google.com,1,SEARCH,,,,,,,,,,,google.com,[],Box UI Elements、React、Tailwind CSS、Vercelを使用したコンテンツポータルの作成 (パート1),5c489a4342f7,2024-06-27T04:59:29
569dd8f37d99,medium.com/box-developer-japan-blog,1,INTERNAL,,,,,,,,POST,,,,,Box Sign: カスタム通知と新しいWebhook,5c489a4342f7,2024-06-21T03:16:46
ef72eee3b2a7,medium.com/box-developer-japan-blog,3,INTERNAL,,,,,,,,POST,,,,,コンテンツプレビューUI Element: Box AIによるユーザーエクスペリエンスの強化,5c489a4342f7,2024-06-12T21:58:19
ef72eee3b2a7,direct,2,DIRECT,,,,,,,,,,,,,コンテンツプレビューUI Element: Box AIによるユーザーエクスペリエンスの強化,5c489a4342f7,2024-06-12T21:58:19
ef72eee3b2a7,google.com,2,SEARCH,,,,,,,,,,,google.com,[],コンテンツプレビューUI Element: Box AIによるユーザーエクスペリエンスの強化,5c489a4342f7,2024-06-12T21:58:19
ef72eee3b2a7,medium.com/@ytaniguchi,2,INTERNAL,,,,,,,,POST,,,,,コンテンツプレビューUI Element: Box AIによるユーザーエクスペリエンスの強化,5c489a4342f7,2024-06-12T21:58:19
ef72eee3b2a7,medium.com,1,INTERNAL,,,,,,,,POST,,,,,コンテンツプレビューUI Element: Box AIによるユーザーエクスペリエンスの強化,5c489a4342f7,2024-06-12T21:58:19
ef72eee3b2a7,Unidentified feed reader,1,RSS,,,,,,,,,,,,,コンテンツプレビューUI Element: Box AIによるユーザーエクスペリエンスの強化,5c489a4342f7,2024-06-12T21:58:19
0f2d3895844b,direct,5,DIRECT,,,,,,,,,,,,,フォルダツリーレポートについて,5c489a4342f7,2024-06-12T21:07:53
0f2d3895844b,medium.com/box-developer-japan-blog,3,INTERNAL,,,,,,,,POST,,,,,フォルダツリーレポートについて,5c489a4342f7,2024-06-12T21:07:53
