postId,slug,title,creatorId,collectionId,upvotes,views,reads,createdAt,firstPublishedAt,visibility,firstPublishedAtBucket,readingTime,syndicatedViews,claps,updateNotificationSubscribers,isSeries,internalReferrerViews,friendsLinkViews,type,daysSincePublished
17ef20927230,box-doc-gen-apiによるドキュメント生成自動化の効率化に関するワークショップ-17ef20927230,Box Doc Gen APIによるドキュメント生成自動化の効率化に関するワークショップ,5c489a4342f7,d4dda281ea02,0,0,0,2025-02-03T05:23:04,2025-02-03T05:23:04,PUBLIC,1738578184490,13.298,0,0,0,False,0,0,PostStat,2
77436998157d,新機能-box-doc-gen-apiのご案内-77436998157d,[新機能] Box Doc Gen APIのご案内,5c489a4342f7,d4dda281ea02,0,1,1,2025-02-03T04:16:10,2025-02-03T04:16:10,PUBLIC,1738574170094,10.681999999999999,0,0,0,False,0,0,PostStat,2
32338709903e,langchain-box-v0-3-1のご紹介-開発者向けに強化されたファイル読み込み機能およびメタデータ機能-32338709903e,langchain-box v0.3.1のご紹介: 開発者向けに強化されたファイル読み込み機能およびメタデータ機能,5c489a4342f7,d4dda281ea02,0,11,9,2025-01-20T00:50:06,2025-01-20T00:50:06,PUBLIC,1737352206073,10.873999999999999,0,0,0,False,0,0,PostStat,16
11cd26174621,サービスアカウントについて-11cd26174621,サービスアカウントについて,5c489a4342f7,d4dda281ea02,0,23,11,2025-01-20T00:49:51,2025-01-20T00:49:51,PUBLIC,1737352191718,7.7620000000000005,0,0,0,False,0,0,PostStat,16
9821b3f566ab,box-appsと統合の命名規則の更新-9821b3f566ab,Box Appsと統合の命名規則の更新,5c489a4342f7,d4dda281ea02,0,8,4,2024-12-24T00:50:58,2024-12-24T00:50:58,PUBLIC,1735019458180,3.0140000000000002,0,0,0,False,0,0,PostStat,43
4dce482fa5af,box-aiワークショップ-不動産賃貸契約の管理-4dce482fa5af,Box AIワークショップ — 不動産賃貸契約の管理,5c489a4342f7,d4dda281ea02,0,19,8,2024-12-22T21:15:37,2024-12-22T21:15:37,PUBLIC,1734920137854,32.868,0,0,0,False,0,0,PostStat,45
bb114b45dc24,カスタムポータルにbox-hubsを埋め込む方法-bb114b45dc24,カスタムポータルにBox Hubsを埋め込む方法,5c489a4342f7,d4dda281ea02,0,11,5,2024-12-22T21:15:21,2024-12-22T21:15:21,PUBLIC,1734920121356,6.244,0,0,0,False,0,0,PostStat,45
6a7fd31346e2,box-ui-elements-react-tailwind-css-vercel-auth0を使用したコンテンツポータルの作成-パート3-6a7fd31346e2,Box UI Elements、React、Tailwind CSS、Vercel、Auth0を使用したコンテンツポータルの作成 (パート3),5c489a4342f7,d4dda281ea02,0,13,6,2024-12-22T21:15:01,2024-12-22T21:15:01,PUBLIC,1734920101144,25.596,0,0,0,False,0,0,PostStat,45
090ddfff4fa8,ワークショップ-llamaindexとchromadbを使用したboxドキュメントへのインデックス作成-090ddfff4fa8,ワークショップ: LlamaIndexとChromaDBを使用したBoxドキュメントへのインデックス作成,5c489a4342f7,d4dda281ea02,0,18,6,2024-11-25T01:19:00,2024-11-25T01:19:00,PUBLIC,1732515540064,12.937999999999999,0,0,0,False,0,0,PostStat,72
6a99517c0647,boxとllamaindexを使用したragアプリケーションの作成の詳細-6a99517c0647,BoxとLlamaIndexを使用したRAGアプリケーションの作成の詳細,5c489a4342f7,d4dda281ea02,0,10,6,2024-11-19T00:49:56,2024-11-19T00:49:56,PUBLIC,1731995396256,13.851999999999999,0,0,0,False,0,0,PostStat,78
b822dc09c633,llamaindexとboxを使用したシンプルなragアプリケーションの作成-b822dc09c633,LlamaIndexとBoxを使用したシンプルなRAGアプリケーションの作成,5c489a4342f7,d4dda281ea02,0,22,12,2024-11-15T04:50:39,2024-11-15T04:50:39,PUBLIC,1731664239191,6.83,0,0,0,False,0,0,PostStat,82
9ed26764485d,box-ui-elementsの対話型のデモ-9ed26764485d,Box UI Elementsの対話型のデモ,5c489a4342f7,d4dda281ea02,0,12,4,2024-11-15T04:34:17,2024-11-15T04:34:16,PUBLIC,1731663256997,1.2533333333333334,0,0,0,False,0,0,PostStat,82
